region,district,area,table,row,column,value,row_no
hk,a,a14,5,a78_<,c77_male,38.0,78
hk,a,a14,5,a80_2000,c77_male,67.0,80
hk,a,a14,5,a82_4000,c77_male,180.0,82
hk,a,a14,5,a84_6000,c77_male,459.0,84
hk,a,a14,5,a86_8000,c77_male,663.0,86
hk,a,a14,5,a88_10000,c77_male,671.0,88
hk,a,a14,5,a90_15000,c77_male,514.0,90
hk,a,a14,5,a92_20000,c77_male,442.0,92
hk,a,a14,5,a94_25000,c77_male,195.0,94
hk,a,a14,5,a96_30000,c77_male,348.0,96
hk,a,a14,5,a98_40000,c77_male,445.0,98
hk,a,a14,5,a100_>=,c77_male,301.0,100
