region,district,area,table,row,column,value,row_no
hk,c,c14,5,a78_<,d77_female,104.0,78
hk,c,c14,5,a80_2000,d77_female,701.0,80
hk,c,c14,5,a82_4000,d77_female,225.0,82
hk,c,c14,5,a84_6000,d77_female,428.0,84
hk,c,c14,5,a86_8000,d77_female,379.0,86
hk,c,c14,5,a88_10000,d77_female,622.0,88
hk,c,c14,5,a90_15000,d77_female,220.0,90
hk,c,c14,5,a92_20000,d77_female,216.0,92
hk,c,c14,5,a94_25000,d77_female,97.0,94
hk,c,c14,5,a96_30000,d77_female,52.0,96
hk,c,c14,5,a98_40000,d77_female,252.0,98
hk,c,c14,5,a100_>=,d77_female,51.0,100
