region,district,area,table,row,column,value,row_no
hk,d,d02,5,a78_<,d77_female,97.0,78
hk,d,d02,5,a80_2000,d77_female,414.0,80
hk,d,d02,5,a82_4000,d77_female,287.0,82
hk,d,d02,5,a84_6000,d77_female,568.0,84
hk,d,d02,5,a86_8000,d77_female,570.0,86
hk,d,d02,5,a88_10000,d77_female,506.0,88
hk,d,d02,5,a90_15000,d77_female,251.0,90
hk,d,d02,5,a92_20000,d77_female,46.0,92
hk,d,d02,5,a94_25000,d77_female,10.0,94
hk,d,d02,5,a96_30000,d77_female,0.0,96
hk,d,d02,5,a98_40000,d77_female,0.0,98
hk,d,d02,5,a100_>=,d77_female,7.0,100
