region,district,area,table,row,column,value,row_no
kl,e,e16,5,a78_<,c77_male,31.0,78
kl,e,e16,5,a80_2000,c77_male,88.0,80
kl,e,e16,5,a82_4000,c77_male,173.0,82
kl,e,e16,5,a84_6000,c77_male,256.0,84
kl,e,e16,5,a86_8000,c77_male,373.0,86
kl,e,e16,5,a88_10000,c77_male,722.0,88
kl,e,e16,5,a90_15000,c77_male,365.0,90
kl,e,e16,5,a92_20000,c77_male,354.0,92
kl,e,e16,5,a94_25000,c77_male,268.0,94
kl,e,e16,5,a96_30000,c77_male,380.0,96
kl,e,e16,5,a98_40000,c77_male,495.0,98
kl,e,e16,5,a100_>=,c77_male,758.0,100
