region,district,area,table,row,column,value,row_no
kl,f,f08,5,a78_<,e77_both,169.0,78
kl,f,f08,5,a80_2000,e77_both,395.0,80
kl,f,f08,5,a82_4000,e77_both,612.0,82
kl,f,f08,5,a84_6000,e77_both,1484.0,84
kl,f,f08,5,a86_8000,e77_both,1377.0,86
kl,f,f08,5,a88_10000,e77_both,1405.0,88
kl,f,f08,5,a90_15000,e77_both,498.0,90
kl,f,f08,5,a92_20000,e77_both,263.0,92
kl,f,f08,5,a94_25000,e77_both,41.0,94
kl,f,f08,5,a96_30000,e77_both,103.0,96
kl,f,f08,5,a98_40000,e77_both,0.0,98
kl,f,f08,5,a100_>=,e77_both,0.0,100
