region,district,area,table,row,column,value,row_no
kl,f,f12,5,a78_<,c77_male,17.0,78
kl,f,f12,5,a80_2000,c77_male,55.0,80
kl,f,f12,5,a82_4000,c77_male,141.0,82
kl,f,f12,5,a84_6000,c77_male,135.0,84
kl,f,f12,5,a86_8000,c77_male,174.0,86
kl,f,f12,5,a88_10000,c77_male,589.0,88
kl,f,f12,5,a90_15000,c77_male,557.0,90
kl,f,f12,5,a92_20000,c77_male,529.0,92
kl,f,f12,5,a94_25000,c77_male,179.0,94
kl,f,f12,5,a96_30000,c77_male,737.0,96
kl,f,f12,5,a98_40000,c77_male,687.0,98
kl,f,f12,5,a100_>=,c77_male,466.0,100
