region,district,area,table,row,column,value,row_no
kl,g,g10,5,a78_<,c77_male,47.0,78
kl,g,g10,5,a80_2000,c77_male,77.0,80
kl,g,g10,5,a82_4000,c77_male,187.0,82
kl,g,g10,5,a84_6000,c77_male,411.0,84
kl,g,g10,5,a86_8000,c77_male,619.0,86
kl,g,g10,5,a88_10000,c77_male,1180.0,88
kl,g,g10,5,a90_15000,c77_male,764.0,90
kl,g,g10,5,a92_20000,c77_male,384.0,92
kl,g,g10,5,a94_25000,c77_male,123.0,94
kl,g,g10,5,a96_30000,c77_male,138.0,96
kl,g,g10,5,a98_40000,c77_male,93.0,98
kl,g,g10,5,a100_>=,c77_male,40.0,100
