region,district,area,table,row,column,value,row_no
kl,g,g14,5,a78_<,d77_female,53.0,78
kl,g,g14,5,a80_2000,d77_female,333.0,80
kl,g,g14,5,a82_4000,d77_female,233.0,82
kl,g,g14,5,a84_6000,d77_female,420.0,84
kl,g,g14,5,a86_8000,d77_female,574.0,86
kl,g,g14,5,a88_10000,d77_female,645.0,88
kl,g,g14,5,a90_15000,d77_female,363.0,90
kl,g,g14,5,a92_20000,d77_female,282.0,92
kl,g,g14,5,a94_25000,d77_female,208.0,94
kl,g,g14,5,a96_30000,d77_female,174.0,96
kl,g,g14,5,a98_40000,d77_female,167.0,98
kl,g,g14,5,a100_>=,d77_female,29.0,100
