region,district,area,table,row,column,value,row_no
kl,g,g17,5,a78_<,e77_both,109.0,78
kl,g,g17,5,a80_2000,e77_both,1294.0,80
kl,g,g17,5,a82_4000,e77_both,352.0,82
kl,g,g17,5,a84_6000,e77_both,371.0,84
kl,g,g17,5,a86_8000,e77_both,408.0,86
kl,g,g17,5,a88_10000,e77_both,1499.0,88
kl,g,g17,5,a90_15000,e77_both,1256.0,90
kl,g,g17,5,a92_20000,e77_both,1656.0,92
kl,g,g17,5,a94_25000,e77_both,875.0,94
kl,g,g17,5,a96_30000,e77_both,1244.0,96
kl,g,g17,5,a98_40000,e77_both,1448.0,98
kl,g,g17,5,a100_>=,e77_both,881.0,100
