region,district,area,table,row,column,value,row_no
nt,k,k08,5,a78_<,d77_female,96.0,78
nt,k,k08,5,a80_2000,d77_female,995.0,80
nt,k,k08,5,a82_4000,d77_female,361.0,82
nt,k,k08,5,a84_6000,d77_female,243.0,84
nt,k,k08,5,a86_8000,d77_female,374.0,86
nt,k,k08,5,a88_10000,d77_female,809.0,88
nt,k,k08,5,a90_15000,d77_female,441.0,90
nt,k,k08,5,a92_20000,d77_female,496.0,92
nt,k,k08,5,a94_25000,d77_female,329.0,94
nt,k,k08,5,a96_30000,d77_female,405.0,96
nt,k,k08,5,a98_40000,d77_female,416.0,98
nt,k,k08,5,a100_>=,d77_female,162.0,100
