region,district,area,table,row,column,value,row_no
nt,l,l11,5,a78_<,d77_female,71.0,78
nt,l,l11,5,a80_2000,d77_female,406.0,80
nt,l,l11,5,a82_4000,d77_female,344.0,82
nt,l,l11,5,a84_6000,d77_female,433.0,84
nt,l,l11,5,a86_8000,d77_female,439.0,86
nt,l,l11,5,a88_10000,d77_female,742.0,88
nt,l,l11,5,a90_15000,d77_female,382.0,90
nt,l,l11,5,a92_20000,d77_female,257.0,92
nt,l,l11,5,a94_25000,d77_female,86.0,94
nt,l,l11,5,a96_30000,d77_female,146.0,96
nt,l,l11,5,a98_40000,d77_female,63.0,98
nt,l,l11,5,a100_>=,d77_female,35.0,100
