region,district,area,table,row,column,value,row_no
nt,m,m26,5,a78_<,d77_female,64.0,78
nt,m,m26,5,a80_2000,d77_female,373.0,80
nt,m,m26,5,a82_4000,d77_female,180.0,82
nt,m,m26,5,a84_6000,d77_female,410.0,84
nt,m,m26,5,a86_8000,d77_female,439.0,86
nt,m,m26,5,a88_10000,d77_female,825.0,88
nt,m,m26,5,a90_15000,d77_female,628.0,90
nt,m,m26,5,a92_20000,d77_female,278.0,92
nt,m,m26,5,a94_25000,d77_female,161.0,94
nt,m,m26,5,a96_30000,d77_female,295.0,96
nt,m,m26,5,a98_40000,d77_female,93.0,98
nt,m,m26,5,a100_>=,d77_female,22.0,100
