region,district,area,table,row,column,value,row_no
nt,n,n12,5,a78_<,c77_male,43.0,78
nt,n,n12,5,a80_2000,c77_male,64.0,80
nt,n,n12,5,a82_4000,c77_male,81.0,82
nt,n,n12,5,a84_6000,c77_male,367.0,84
nt,n,n12,5,a86_8000,c77_male,375.0,86
nt,n,n12,5,a88_10000,c77_male,1249.0,88
nt,n,n12,5,a90_15000,c77_male,695.0,90
nt,n,n12,5,a92_20000,c77_male,584.0,92
nt,n,n12,5,a94_25000,c77_male,200.0,94
nt,n,n12,5,a96_30000,c77_male,676.0,96
nt,n,n12,5,a98_40000,c77_male,240.0,98
nt,n,n12,5,a100_>=,c77_male,117.0,100
