region,district,area,table,row,column,value,row_no
nt,p,p08,5,a78_<,d77_female,54.0,78
nt,p,p08,5,a80_2000,d77_female,285.0,80
nt,p,p08,5,a82_4000,d77_female,227.0,82
nt,p,p08,5,a84_6000,d77_female,735.0,84
nt,p,p08,5,a86_8000,d77_female,492.0,86
nt,p,p08,5,a88_10000,d77_female,639.0,88
nt,p,p08,5,a90_15000,d77_female,293.0,90
nt,p,p08,5,a92_20000,d77_female,197.0,92
nt,p,p08,5,a94_25000,d77_female,76.0,94
nt,p,p08,5,a96_30000,d77_female,12.0,96
nt,p,p08,5,a98_40000,d77_female,16.0,98
nt,p,p08,5,a100_>=,d77_female,0.0,100
