region,district,area,table,row,column,value,row_no
nt,p,p15,5,a78_<,c77_male,92.0,78
nt,p,p15,5,a80_2000,c77_male,130.0,80
nt,p,p15,5,a82_4000,c77_male,249.0,82
nt,p,p15,5,a84_6000,c77_male,595.0,84
nt,p,p15,5,a86_8000,c77_male,880.0,86
nt,p,p15,5,a88_10000,c77_male,1515.0,88
nt,p,p15,5,a90_15000,c77_male,698.0,90
nt,p,p15,5,a92_20000,c77_male,219.0,92
nt,p,p15,5,a94_25000,c77_male,110.0,94
nt,p,p15,5,a96_30000,c77_male,54.0,96
nt,p,p15,5,a98_40000,c77_male,30.0,98
nt,p,p15,5,a100_>=,c77_male,0.0,100
