region,district,area,table,row,column,value,row_no
nt,s,s02,5,a78_<,c77_male,183.0,78
nt,s,s02,5,a80_2000,c77_male,205.0,80
nt,s,s02,5,a82_4000,c77_male,247.0,82
nt,s,s02,5,a84_6000,c77_male,675.0,84
nt,s,s02,5,a86_8000,c77_male,807.0,86
nt,s,s02,5,a88_10000,c77_male,1464.0,88
nt,s,s02,5,a90_15000,c77_male,481.0,90
nt,s,s02,5,a92_20000,c77_male,124.0,92
nt,s,s02,5,a94_25000,c77_male,72.0,94
nt,s,s02,5,a96_30000,c77_male,16.0,96
nt,s,s02,5,a98_40000,c77_male,14.0,98
nt,s,s02,5,a100_>=,c77_male,0.0,100
