region,district,area,table,row,column,value,row_no
nt,t,t03,5,a78_<,d77_female,149.0,78
nt,t,t03,5,a80_2000,d77_female,413.0,80
nt,t,t03,5,a82_4000,d77_female,437.0,82
nt,t,t03,5,a84_6000,d77_female,1111.0,84
nt,t,t03,5,a86_8000,d77_female,876.0,86
nt,t,t03,5,a88_10000,d77_female,734.0,88
nt,t,t03,5,a90_15000,d77_female,223.0,90
nt,t,t03,5,a92_20000,d77_female,87.0,92
nt,t,t03,5,a94_25000,d77_female,16.0,94
nt,t,t03,5,a96_30000,d77_female,6.0,96
nt,t,t03,5,a98_40000,d77_female,22.0,98
nt,t,t03,5,a100_>=,d77_female,0.0,100
