region,district,area,table,row,column,value,row_no
hk,a,a06,5,a78_<,d77_female,41.0,78
hk,a,a06,5,a80_2000,d77_female,863.0,80
hk,a,a06,5,a82_4000,d77_female,429.0,82
hk,a,a06,5,a84_6000,d77_female,315.0,84
hk,a,a06,5,a86_8000,d77_female,312.0,86
hk,a,a06,5,a88_10000,d77_female,606.0,88
hk,a,a06,5,a90_15000,d77_female,465.0,90
hk,a,a06,5,a92_20000,d77_female,387.0,92
hk,a,a06,5,a94_25000,d77_female,176.0,94
hk,a,a06,5,a96_30000,d77_female,412.0,96
hk,a,a06,5,a98_40000,d77_female,256.0,98
hk,a,a06,5,a100_>=,d77_female,423.0,100
