region,district,area,table,row,column,value,row_no
hk,a,a08,5,a78_<,c77_male,79.0,78
hk,a,a08,5,a80_2000,c77_male,131.0,80
hk,a,a08,5,a82_4000,c77_male,140.0,82
hk,a,a08,5,a84_6000,c77_male,286.0,84
hk,a,a08,5,a86_8000,c77_male,369.0,86
hk,a,a08,5,a88_10000,c77_male,944.0,88
hk,a,a08,5,a90_15000,c77_male,621.0,90
hk,a,a08,5,a92_20000,c77_male,441.0,92
hk,a,a08,5,a94_25000,c77_male,319.0,94
hk,a,a08,5,a96_30000,c77_male,411.0,96
hk,a,a08,5,a98_40000,c77_male,242.0,98
hk,a,a08,5,a100_>=,c77_male,226.0,100
