region,district,area,table,row,column,value,row_no
hk,b,b03,5,a78_<,e77_both,126.0,78
hk,b,b03,5,a80_2000,e77_both,614.0,80
hk,b,b03,5,a82_4000,e77_both,327.0,82
hk,b,b03,5,a84_6000,e77_both,557.0,84
hk,b,b03,5,a86_8000,e77_both,810.0,86
hk,b,b03,5,a88_10000,e77_both,1576.0,88
hk,b,b03,5,a90_15000,e77_both,869.0,90
hk,b,b03,5,a92_20000,e77_both,487.0,92
hk,b,b03,5,a94_25000,e77_both,186.0,94
hk,b,b03,5,a96_30000,e77_both,583.0,96
hk,b,b03,5,a98_40000,e77_both,423.0,98
hk,b,b03,5,a100_>=,e77_both,322.0,100
