region,district,area,table,row,column,value,row_no
hk,c,c28,5,a78_<,d77_female,45.0,78
hk,c,c28,5,a80_2000,d77_female,936.0,80
hk,c,c28,5,a82_4000,d77_female,114.0,82
hk,c,c28,5,a84_6000,d77_female,208.0,84
hk,c,c28,5,a86_8000,d77_female,232.0,86
hk,c,c28,5,a88_10000,d77_female,471.0,88
hk,c,c28,5,a90_15000,d77_female,305.0,90
hk,c,c28,5,a92_20000,d77_female,443.0,92
hk,c,c28,5,a94_25000,d77_female,172.0,94
hk,c,c28,5,a96_30000,d77_female,289.0,96
hk,c,c28,5,a98_40000,d77_female,318.0,98
hk,c,c28,5,a100_>=,d77_female,278.0,100
