region,district,area,table,row,column,value,row_no
hk,d,d09,5,a78_<,e77_both,159.0,78
hk,d,d09,5,a80_2000,e77_both,436.0,80
hk,d,d09,5,a82_4000,e77_both,403.0,82
hk,d,d09,5,a84_6000,e77_both,1336.0,84
hk,d,d09,5,a86_8000,e77_both,1324.0,86
hk,d,d09,5,a88_10000,e77_both,1408.0,88
hk,d,d09,5,a90_15000,e77_both,674.0,90
hk,d,d09,5,a92_20000,e77_both,336.0,92
hk,d,d09,5,a94_25000,e77_both,29.0,94
hk,d,d09,5,a96_30000,e77_both,156.0,96
hk,d,d09,5,a98_40000,e77_both,0.0,98
hk,d,d09,5,a100_>=,e77_both,9.0,100
