region,district,area,table,row,column,value,row_no
kl,e,e02,5,a78_<,c77_male,157.0,78
kl,e,e02,5,a80_2000,c77_male,123.0,80
kl,e,e02,5,a82_4000,c77_male,173.0,82
kl,e,e02,5,a84_6000,c77_male,191.0,84
kl,e,e02,5,a86_8000,c77_male,459.0,86
kl,e,e02,5,a88_10000,c77_male,1102.0,88
kl,e,e02,5,a90_15000,c77_male,642.0,90
kl,e,e02,5,a92_20000,c77_male,667.0,92
kl,e,e02,5,a94_25000,c77_male,285.0,94
kl,e,e02,5,a96_30000,c77_male,503.0,96
kl,e,e02,5,a98_40000,c77_male,533.0,98
kl,e,e02,5,a100_>=,c77_male,444.0,100
