region,district,area,table,row,column,value,row_no
kl,e,e10,5,a78_<,d77_female,60.0,78
kl,e,e10,5,a80_2000,d77_female,285.0,80
kl,e,e10,5,a82_4000,d77_female,177.0,82
kl,e,e10,5,a84_6000,d77_female,391.0,84
kl,e,e10,5,a86_8000,d77_female,587.0,86
kl,e,e10,5,a88_10000,d77_female,659.0,88
kl,e,e10,5,a90_15000,d77_female,353.0,90
kl,e,e10,5,a92_20000,d77_female,237.0,92
kl,e,e10,5,a94_25000,d77_female,37.0,94
kl,e,e10,5,a96_30000,d77_female,82.0,96
kl,e,e10,5,a98_40000,d77_female,14.0,98
kl,e,e10,5,a100_>=,d77_female,9.0,100
