region,district,area,table,row,column,value,row_no
kl,g,g02,5,a78_<,d77_female,97.0,78
kl,g,g02,5,a80_2000,d77_female,895.0,80
kl,g,g02,5,a82_4000,d77_female,188.0,82
kl,g,g02,5,a84_6000,d77_female,489.0,84
kl,g,g02,5,a86_8000,d77_female,460.0,86
kl,g,g02,5,a88_10000,d77_female,737.0,88
kl,g,g02,5,a90_15000,d77_female,501.0,90
kl,g,g02,5,a92_20000,d77_female,449.0,92
kl,g,g02,5,a94_25000,d77_female,215.0,94
kl,g,g02,5,a96_30000,d77_female,353.0,96
kl,g,g02,5,a98_40000,d77_female,314.0,98
kl,g,g02,5,a100_>=,d77_female,133.0,100
