region,district,area,table,row,column,value,row_no
kl,h,h05,5,a78_<,e77_both,169.0,78
kl,h,h05,5,a80_2000,e77_both,734.0,80
kl,h,h05,5,a82_4000,e77_both,467.0,82
kl,h,h05,5,a84_6000,e77_both,776.0,84
kl,h,h05,5,a86_8000,e77_both,1455.0,86
kl,h,h05,5,a88_10000,e77_both,2414.0,88
kl,h,h05,5,a90_15000,e77_both,757.0,90
kl,h,h05,5,a92_20000,e77_both,560.0,92
kl,h,h05,5,a94_25000,e77_both,284.0,94
kl,h,h05,5,a96_30000,e77_both,332.0,96
kl,h,h05,5,a98_40000,e77_both,103.0,98
kl,h,h05,5,a100_>=,e77_both,49.0,100
