region,district,area,table,row,column,value,row_no
kl,j,j33,5,a78_<,d77_female,99.0,78
kl,j,j33,5,a80_2000,d77_female,594.0,80
kl,j,j33,5,a82_4000,d77_female,120.0,82
kl,j,j33,5,a84_6000,d77_female,521.0,84
kl,j,j33,5,a86_8000,d77_female,409.0,86
kl,j,j33,5,a88_10000,d77_female,1196.0,88
kl,j,j33,5,a90_15000,d77_female,819.0,90
kl,j,j33,5,a92_20000,d77_female,692.0,92
kl,j,j33,5,a94_25000,d77_female,330.0,94
kl,j,j33,5,a96_30000,d77_female,325.0,96
kl,j,j33,5,a98_40000,d77_female,165.0,98
kl,j,j33,5,a100_>=,d77_female,25.0,100
