region,district,area,table,row,column,value,row_no
nt,l,l16,5,a78_<,e77_both,82.0,78
nt,l,l16,5,a80_2000,e77_both,398.0,80
nt,l,l16,5,a82_4000,e77_both,181.0,82
nt,l,l16,5,a84_6000,e77_both,462.0,84
nt,l,l16,5,a86_8000,e77_both,752.0,86
nt,l,l16,5,a88_10000,e77_both,1943.0,88
nt,l,l16,5,a90_15000,e77_both,1080.0,90
nt,l,l16,5,a92_20000,e77_both,598.0,92
nt,l,l16,5,a94_25000,e77_both,222.0,94
nt,l,l16,5,a96_30000,e77_both,527.0,96
nt,l,l16,5,a98_40000,e77_both,268.0,98
nt,l,l16,5,a100_>=,e77_both,89.0,100
