region,district,area,table,row,column,value,row_no
nt,n,n09,5,a78_<,d77_female,186.0,78
nt,n,n09,5,a80_2000,d77_female,568.0,80
nt,n,n09,5,a82_4000,d77_female,441.0,82
nt,n,n09,5,a84_6000,d77_female,728.0,84
nt,n,n09,5,a86_8000,d77_female,628.0,86
nt,n,n09,5,a88_10000,d77_female,559.0,88
nt,n,n09,5,a90_15000,d77_female,99.0,90
nt,n,n09,5,a92_20000,d77_female,57.0,92
nt,n,n09,5,a94_25000,d77_female,8.0,94
nt,n,n09,5,a96_30000,d77_female,53.0,96
nt,n,n09,5,a98_40000,d77_female,7.0,98
nt,n,n09,5,a100_>=,d77_female,40.0,100
