region,district,area,table,row,column,value,row_no
nt,q,q11,5,a78_<,c77_male,58.0,78
nt,q,q11,5,a80_2000,c77_male,98.0,80
nt,q,q11,5,a82_4000,c77_male,134.0,82
nt,q,q11,5,a84_6000,c77_male,211.0,84
nt,q,q11,5,a86_8000,c77_male,371.0,86
nt,q,q11,5,a88_10000,c77_male,984.0,88
nt,q,q11,5,a90_15000,c77_male,828.0,90
nt,q,q11,5,a92_20000,c77_male,884.0,92
nt,q,q11,5,a94_25000,c77_male,268.0,94
nt,q,q11,5,a96_30000,c77_male,547.0,96
nt,q,q11,5,a98_40000,c77_male,337.0,98
nt,q,q11,5,a100_>=,c77_male,95.0,100
