region,district,area,table,row,column,value,row_no
nt,r,r23,5,a78_<,d77_female,130.0,78
nt,r,r23,5,a80_2000,d77_female,1172.0,80
nt,r,r23,5,a82_4000,d77_female,427.0,82
nt,r,r23,5,a84_6000,d77_female,608.0,84
nt,r,r23,5,a86_8000,d77_female,577.0,86
nt,r,r23,5,a88_10000,d77_female,598.0,88
nt,r,r23,5,a90_15000,d77_female,332.0,90
nt,r,r23,5,a92_20000,d77_female,388.0,92
nt,r,r23,5,a94_25000,d77_female,182.0,94
nt,r,r23,5,a96_30000,d77_female,233.0,96
nt,r,r23,5,a98_40000,d77_female,328.0,98
nt,r,r23,5,a100_>=,d77_female,229.0,100
