region,district,area,table,row,column,value,row_no
nt,s,s20,5,a78_<,c77_male,27.0,78
nt,s,s20,5,a80_2000,c77_male,60.0,80
nt,s,s20,5,a82_4000,c77_male,95.0,82
nt,s,s20,5,a84_6000,c77_male,150.0,84
nt,s,s20,5,a86_8000,c77_male,350.0,86
nt,s,s20,5,a88_10000,c77_male,705.0,88
nt,s,s20,5,a90_15000,c77_male,637.0,90
nt,s,s20,5,a92_20000,c77_male,683.0,92
nt,s,s20,5,a94_25000,c77_male,355.0,94
nt,s,s20,5,a96_30000,c77_male,618.0,96
nt,s,s20,5,a98_40000,c77_male,675.0,98
nt,s,s20,5,a100_>=,c77_male,605.0,100
