region,district,area,table,row,column,value,row_no
nt,s,s28,5,a78_<,d77_female,167.0,78
nt,s,s28,5,a80_2000,d77_female,785.0,80
nt,s,s28,5,a82_4000,d77_female,356.0,82
nt,s,s28,5,a84_6000,d77_female,906.0,84
nt,s,s28,5,a86_8000,d77_female,677.0,86
nt,s,s28,5,a88_10000,d77_female,971.0,88
nt,s,s28,5,a90_15000,d77_female,584.0,90
nt,s,s28,5,a92_20000,d77_female,180.0,92
nt,s,s28,5,a94_25000,d77_female,104.0,94
nt,s,s28,5,a96_30000,d77_female,82.0,96
nt,s,s28,5,a98_40000,d77_female,118.0,98
nt,s,s28,5,a100_>=,d77_female,17.0,100
