region,district,area,table,row,column,value,row_no
nt,t,t03,5,a78_<,e77_both,238.0,78
nt,t,t03,5,a80_2000,e77_both,563.0,80
nt,t,t03,5,a82_4000,e77_both,663.0,82
nt,t,t03,5,a84_6000,e77_both,1892.0,84
nt,t,t03,5,a86_8000,e77_both,1684.0,86
nt,t,t03,5,a88_10000,e77_both,2197.0,88
nt,t,t03,5,a90_15000,e77_both,907.0,90
nt,t,t03,5,a92_20000,e77_both,308.0,92
nt,t,t03,5,a94_25000,e77_both,27.0,94
nt,t,t03,5,a96_30000,e77_both,100.0,96
nt,t,t03,5,a98_40000,e77_both,43.0,98
nt,t,t03,5,a100_>=,e77_both,0.0,100
