region,district,area,table,row,column,value,row_no
nt,t,t08,5,a78_<,c77_male,16.0,78
nt,t,t08,5,a80_2000,c77_male,40.0,80
nt,t,t08,5,a82_4000,c77_male,65.0,82
nt,t,t08,5,a84_6000,c77_male,144.0,84
nt,t,t08,5,a86_8000,c77_male,38.0,86
nt,t,t08,5,a88_10000,c77_male,238.0,88
nt,t,t08,5,a90_15000,c77_male,333.0,90
nt,t,t08,5,a92_20000,c77_male,137.0,92
nt,t,t08,5,a94_25000,c77_male,77.0,94
nt,t,t08,5,a96_30000,c77_male,232.0,96
nt,t,t08,5,a98_40000,c77_male,113.0,98
nt,t,t08,5,a100_>=,c77_male,140.0,100
