region,district,area,table,row,column,value,row_no
nt,t,t10,5,a78_<,d77_female,34.0,78
nt,t,t10,5,a80_2000,d77_female,326.0,80
nt,t,t10,5,a82_4000,d77_female,328.0,82
nt,t,t10,5,a84_6000,d77_female,364.0,84
nt,t,t10,5,a86_8000,d77_female,502.0,86
nt,t,t10,5,a88_10000,d77_female,465.0,88
nt,t,t10,5,a90_15000,d77_female,264.0,90
nt,t,t10,5,a92_20000,d77_female,78.0,92
nt,t,t10,5,a94_25000,d77_female,84.0,94
nt,t,t10,5,a96_30000,d77_female,63.0,96
nt,t,t10,5,a98_40000,d77_female,10.0,98
nt,t,t10,5,a100_>=,d77_female,30.0,100
